"Nombre" "Plataforma" "Fecha" "Genero" "VentasEEUU" "VentasEU" "VentasJP" "VentasOtros" "Ventas"
"40" "Super Smash Bros. Brawl" "Wii" "2008" "Fighting" 6.75 2.61 2.66 1.02 13.04
"41" "Call of Duty: Black Ops" "PS3" "2010" "Shooter" 5.98 4.44 0.48 1.83 12.73
"42" "Animal Crossing: Wild World" "DS" "2005" "Simulation" 2.55 3.52 5.33 0.88 12.27
"43" "Mario Kart 7" "3DS" "2011" "Racing" 4.74 3.91 2.67 0.89 12.21
"44" "Halo 3" "X360" "2007" "Shooter" 7.97 2.83 0.13 1.21 12.14
"45" "Grand Theft Auto V" "PS4" "2014" "Action" 3.8 5.81 0.36 2.02 11.98
"46" "Pokemon HeartGold/Pokemon SoulSilver" "DS" "2009" "Action" 4.4 2.77 3.96 0.77 11.9
"47" "Super Mario 64" "N64" "1996" "Platform" 6.91 2.85 1.91 0.23 11.89
"48" "Gran Turismo 4" "PS2" "2004" "Racing" 3.01 0.01 1.1 7.53 11.66
"49" "Super Mario Galaxy" "Wii" "2007" "Platform" 6.16 3.4 1.2 0.76 11.52
"50" "Pokemon Omega Ruby/Pokemon Alpha Sapphire" "3DS" "2014" "Role-Playing" 4.23 3.37 3.08 0.65 11.33
"52" "Grand Theft Auto IV" "X360" "2008" "Action" 6.76 3.1 0.14 1.03 11.02
"53" "Gran Turismo" "PS" "1997" "Racing" 4.02 3.87 2.54 0.52 10.95
"54" "Super Mario 3D Land" "3DS" "2011" "Platform" 4.89 2.99 2.13 0.78 10.79
"55" "Gran Turismo 5" "PS3" "2010" "Racing" 2.96 4.88 0.81 2.12 10.77
"56" "Call of Duty: Modern Warfare 2" "PS3" "2009" "Shooter" 4.99 3.69 0.38 1.63 10.69
"57" "Grand Theft Auto IV" "PS3" "2008" "Action" 4.76 3.76 0.44 1.62 10.57
"58" "Super Mario All-Stars" "SNES" "1993" "Platform" 5.99 2.15 2.12 0.29 10.55
"59" "Pokemon FireRed/Pokemon LeafGreen" "GBA" "2004" "Role-Playing" 4.34 2.65 3.15 0.35 10.49
"60" "Super Mario 64" "DS" "2004" "Platform" 5.08 3.11 1.25 0.98 10.42
"61" "Just Dance 3" "Wii" "2011" "Misc" 6.05 3.15 0 1.07 10.26
"62" "Call of Duty: Ghosts" "X360" "2013" "Shooter" 6.72 2.63 0.04 0.82 10.21
"63" "Halo: Reach" "X360" "2010" "Shooter" 7.03 1.98 0.08 0.78 9.88
"64" "Mario Kart 64" "N64" "1996" "Racing" 5.55 1.94 2.23 0.15 9.87
"65" "New Super Mario Bros. 2" "3DS" "2012" "Platform" 3.66 3.07 2.47 0.63 9.82
"66" "Halo 4" "X360" "2012" "Shooter" 6.63 2.36 0.04 0.73 9.76
"67" "Final Fantasy VII" "PS" "1997" "Role-Playing" 3.01 2.47 3.28 0.96 9.72
"68" "Call of Duty: Ghosts" "PS3" "2013" "Shooter" 4.09 3.73 0.38 1.38 9.59
"69" "Just Dance 2" "Wii" "2010" "Misc" 5.84 2.89 0.01 0.78 9.52
"70" "Gran Turismo 2" "PS" "1999" "Racing" 3.88 3.42 1.69 0.5 9.49
"71" "Call of Duty 4: Modern Warfare" "X360" "2007" "Shooter" 5.91 2.38 0.13 0.9 9.32
"72" "Donkey Kong Country" "SNES" "1994" "Platform" 4.36 1.71 3 0.23 9.3
"73" "Minecraft" "X360" "2013" "Misc" 5.58 2.83 0.02 0.77 9.2
"74" "Animal Crossing: New Leaf" "3DS" "2012" "Simulation" 2.01 2.32 4.36 0.41 9.09
"75" "Mario Party DS" "DS" "2007" "Misc" 4.46 1.88 1.98 0.7 9.02
"76" "The Elder Scrolls V: Skyrim" "X360" "2011" "Role-Playing" 5.03 2.86 0.1 0.85 8.84
"77" "Super Mario Kart" "SNES" "1992" "Racing" 3.54 1.24 3.81 0.18 8.76
"78" "FIFA 16" "PS4" "2015" "Sports" 1.11 6.06 0.06 1.26 8.49
"79" "Wii Party" "Wii" "2010" "Misc" 1.79 3.53 2.49 0.68 8.49
"80" "Halo 2" "XB" "2004" "Shooter" 6.82 1.53 0.05 0.08 8.49
"81" "Mario Party 8" "Wii" "2007" "Misc" 3.81 2.3 1.58 0.73 8.42
"82" "Pokemon Black 2/Pokemon White 2" "DS" "2012" "Role-Playing" 2.91 1.86 3.14 0.43 8.33
"83" "FIFA Soccer 13" "PS3" "2012" "Action" 1.06 5.05 0.13 2.01 8.24
"84" "The Sims 3" "PC" "2009" "Simulation" 0.98 6.42 0 0.71 8.11
"85" "GoldenEye 007" "N64" "1997" "Shooter" 5.8 2.01 0.13 0.15 8.09
"86" "Mario & Sonic at the Olympic Games" "Wii" "2007" "Sports" 2.58 3.9 0.66 0.91 8.06
"87" "Final Fantasy X" "PS2" "2001" "Role-Playing" 2.91 2.07 2.73 0.33 8.05
"88" "Final Fantasy VIII" "PS" "1999" "Role-Playing" 2.28 1.72 3.63 0.23 7.86
"89" "Pokémon Platinum Version" "DS" "2008" "Role-Playing" 2.82 1.78 2.69 0.55 7.84
"91" "Grand Theft Auto: Liberty City Stories" "PSP" "2005" "Action" 2.9 2.83 0.24 1.75 7.72
"92" "Super Mario Galaxy 2" "Wii" "2010" "Platform" 3.66 2.42 0.98 0.64 7.69
"93" "Star Wars Battlefront (2015)" "PS4" "2015" "Shooter" 2.93 3.29 0.22 1.23 7.67
"94" "Call of Duty: Advanced Warfare" "PS4" "2014" "Shooter" 2.8 3.3 0.14 1.37 7.6
"95" "The Legend of Zelda: Ocarina of Time" "N64" "1998" "Action" 4.1 1.89 1.45 0.16 7.6
"96" "Crash Bandicoot 2: Cortex Strikes Back" "PS" "1997" "Platform" 3.78 2.17 1.31 0.31 7.58
"98" "Super Smash Bros. for Wii U and 3DS" "3DS" "2014" "Fighting" 3.24 1.35 2.42 0.43 7.45
"99" "Call of Duty: World at War" "X360" "2008" "Shooter" 4.79 1.9 0 0.69 7.37
"100" "Battlefield 3" "X360" "2011" "Shooter" 4.46 2.13 0.06 0.69 7.34
"101" "The Legend of Zelda: Twilight Princess" "Wii" "2006" "Action" 3.83 2.19 0.6 0.7 7.31
"102" "Call of Duty: Black Ops 3" "XOne" "2015" "Shooter" 4.52 2.09 0.01 0.67 7.3
"103" "Just Dance" "Wii" "2009" "Misc" 3.51 3.03 0 0.73 7.27
"104" "Battlefield 3" "PS3" "2011" "Shooter" 2.85 2.93 0.35 1.1 7.23
"105" "Need for Speed Underground" "PS2" "2003" "Racing" 3.27 2.83 0.08 1.02 7.2
"106" "Tekken 3" "PS" "1998" "Fighting" 3.27 2.22 1.4 0.29 7.16
"107" "Crash Bandicoot 3: Warped" "PS" "1998" "Platform" 3.68 1.75 1.42 0.28 7.13
"108" "Super Smash Bros. Melee" "GC" "2001" "Fighting" 4.41 1.04 1.39 0.22 7.07
"109" "Mario Kart 8" "WiiU" "2014" "Racing" 3.13 2.07 1.27 0.49 6.96
"110" "Fallout 4" "PS4" "2015" "Role-Playing" 2.47 3.15 0.24 1.1 6.96
"111" "Mario Kart: Double Dash!!" "GC" "2003" "Racing" 4.12 1.77 0.87 0.19 6.95
"112" "Just Dance 4" "Wii" "2012" "Misc" 4.14 2.21 0 0.56 6.91
"113" "FIFA 14" "PS3" "2013" "Sports" 0.78 4.32 0.07 1.73 6.9
"114" "Need for Speed Underground 2" "PS2" "2004" "Racing" 2.71 3.02 0.08 1.09 6.9
"115" "Medal of Honor: Frontline" "PS2" "2002" "Shooter" 2.93 2.75 0.17 0.99 6.83
"116" "Uncharted 3: Drake's Deception" "PS3" "2011" "Action" 2.77 2.8 0.19 1.06 6.83
"117" "Crash Bandicoot" "PS" "1996" "Platform" 3.23 2.35 0.94 0.3 6.82
"118" "Zumba Fitness" "Wii" "2010" "Sports" 3.5 2.64 0 0.67 6.81
"119" "Gears of War 2" "X360" "2008" "Shooter" 4.15 1.92 0.06 0.64 6.76
"120" "Uncharted 2: Among Thieves" "PS3" "2009" "Action" 3.27 2.25 0.21 1 6.73
"121" "Call of Duty 4: Modern Warfare" "PS3" "2007" "Shooter" 3.1 2.3 0.28 1.04 6.72
"122" "FIFA 12" "PS3" "2011" "Sports" 0.84 4.32 0.11 1.42 6.69
"123" "Big Brain Academy" "DS" "2005" "Misc" 1.67 2.78 1.6 0.62 6.67
"124" "Red Dead Redemption" "PS3" "2010" "Action" 2.79 2.61 0.17 1.03 6.6
"125" "FIFA 15" "PS4" "2014" "Sports" 0.79 4.29 0.05 1.47 6.59
"126" "Donkey Kong Country Returns" "Wii" "2010" "Platform" 3.25 1.84 1.03 0.47 6.59
"127" "The Elder Scrolls V: Skyrim" "PS3" "2011" "Role-Playing" 2.55 2.71 0.25 1.05 6.56
"129" "Assassin's Creed III" "PS3" "2012" "Action" 2.64 2.56 0.16 1.14 6.5
"130" "Halo: Combat Evolved" "XB" "2001" "Shooter" 4.98 1.3 0.08 0.07 6.43
"131" "Pokémon Emerald Version" "GBA" "2004" "Role-Playing" 2.57 1.58 2.06 0.21 6.41
"132" "Kingdom Hearts" "PS2" "2002" "Role-Playing" 3.64 1.2 1.49 0.07 6.4
"134" "Halo 3: ODST" "X360" "2009" "Shooter" 4.34 1.35 0.06 0.61 6.36
"135" "Red Dead Redemption" "X360" "2010" "Action" 3.7 1.97 0.09 0.57 6.34
"136" "Super Mario Sunshine" "GC" "2002" "Platform" 4.01 1.26 0.87 0.17 6.31
"137" "Street Fighter II: The World Warrior" "SNES" "1992" "Fighting" 2.47 0.83 2.87 0.12 6.3
"138" "World of Warcraft" "PC" "2004" "Role-Playing" 0.07 6.21 0 0 6.28
"139" "Driver" "PS" "1999" "Action" 3.11 2.8 0.02 0.33 6.27
"140" "Kinect Sports" "X360" "2010" "Sports" 3.92 1.78 0.03 0.51 6.24
"141" "Gears of War 3" "X360" "2011" "Shooter" 4.05 1.62 0.07 0.49 6.24
"142" "Gears of War" "X360" "2006" "Shooter" 3.54 1.9 0.07 0.6 6.11
"143" "Metal Gear Solid 2: Sons of Liberty" "PS2" "2001" "Action" 2.45 2.01 0.87 0.72 6.05
"145" "Metal Gear Solid 4: Guns of the Patriots" "PS3" "2008" "Action" 2.63 1.74 0.83 0.83 6.03
"146" "Metal Gear Solid" "PS" "1998" "Action" 3.18 1.83 0.78 0.24 6.03
"147" "The Last of Us" "PS3" "2013" "Action" 2.41 2.28 0.28 1.01 5.99
"148" "Final Fantasy XII" "PS2" "2006" "Role-Playing" 1.88 0 2.33 1.74 5.95
"149" "LittleBigPlanet" "PS3" "2008" "Platform" 2.8 2.05 0.17 0.9 5.92
"150" "Dragon Quest IX: Sentinels of the Starry Skies" "DS" "2009" "Role-Playing" 0.66 0.69 4.35 0.15 5.84
"151" "LEGO Star Wars: The Complete Saga" "Wii" "2007" "Action" 3.66 1.63 0 0.53 5.83
"152" "Resident Evil 2" "PS" "1998" "Action" 1.88 1.47 2.02 0.45 5.82
"153" "Tekken 2" "PS" "1996" "Fighting" 2.26 1.89 1.36 0.23 5.74
"154" "Cooking Mama" "DS" "2006" "Simulation" 3.13 1.94 0.07 0.58 5.72
"155" "Destiny" "PS4" "2014" "Shooter" 2.49 2.05 0.16 0.96 5.65
"157" "Assassin's Creed II" "PS3" "2009" "Action" 2.54 1.95 0.21 0.87 5.57
"158" "Super Smash Bros." "N64" "1999" "Fighting" 2.95 0.6 1.97 0.04 5.55
"159" "Assassin's Creed" "X360" "2007" "Adventure" 3.28 1.65 0.07 0.55 5.55
"160" "Batman: Arkham City" "PS3" "2011" "Action" 2.7 1.91 0.11 0.8 5.53
"161" "Forza Motorsport 3" "X360" "2009" "Racing" 2.99 1.92 0.1 0.51 5.51
"162" "Monster Hunter Freedom Unite" "PSP" "2008" "Role-Playing" 0.47 0.57 4.13 0.34 5.5
"163" "Super Mario Advance" "GBA" "2001" "Platform" 3.14 1.24 0.91 0.2 5.49
"164" "Mario Kart: Super Circuit" "GBA" "2001" "Racing" 2.62 1.64 0.99 0.23 5.47
"165" "Super Mario World" "GBA" "2001" "Platform" 3.21 1.11 0.95 0.2 5.46
"166" "Pokemon Stadium" "N64" "1999" "Strategy" 3.18 1.24 0.94 0.09 5.45
"167" "Call of Duty: World at War" "PS3" "2008" "Shooter" 2.72 1.87 0 0.84 5.43
"168" "Crash Bandicoot: The Wrath of Cortex" "PS2" "2001" "Platform" 2.07 2.29 0.24 0.82 5.42
"169" "Minecraft" "PS3" "2014" "Misc" 1.97 2.51 0 0.94 5.42
"170" "Final Fantasy XIII" "PS3" "2009" "Role-Playing" 1.74 1.24 1.87 0.52 5.36
"173" "Assassin's Creed III" "X360" "2012" "Action" 3.13 1.71 0.03 0.44 5.3
"174" "Final Fantasy IX" "PS" "2000" "Role-Playing" 1.62 0.77 2.78 0.14 5.3
"175" "Final Fantasy X-2" "PS2" "2003" "Role-Playing" 1.92 1.08 2.11 0.17 5.29
"176" "Donkey Kong 64" "N64" "1999" "Platform" 3.33 0.79 1.09 0.06 5.27
"177" "Assassin's Creed II" "X360" "2009" "Action" 3.1 1.56 0.08 0.51 5.27
"178" "Professor Layton and the Curious Village" "DS" "2007" "Puzzle" 1.22 2.48 1.03 0.52 5.26
"179" "Tomb Raider II" "PS" "1997" "Action" 2.3 2.46 0.2 0.28 5.24
"180" "Madden NFL 2004" "PS2" "N/A" "Sports" 4.26 0.26 0.01 0.71 5.23
"181" "Dragon Quest VIII: Journey of the Cursed King" "PS2" "2004" "Role-Playing" 0.65 0.75 3.61 0.2 5.21
"182" "Diablo III" "PC" "2012" "Role-Playing" 2.43 2.15 0 0.62 5.2
"183" "Super Mario Bros. 3" "GBA" "2003" "Platform" 2.93 1.25 0.83 0.2 5.2
"184" "New Super Mario Bros. U" "WiiU" "2012" "Platform" 2.32 1.3 1.27 0.31 5.19
"186" "FIFA Soccer 13" "X360" "2012" "Action" 1.08 3.48 0.03 0.58 5.18
"187" "The Legend of Zelda: Phantom Hourglass" "DS" "2007" "Action" 1.9 1.83 0.95 0.49 5.17
"188" "Donkey Kong Country 2: Diddy's Kong Quest" "SNES" "1995" "Platform" 2.1 0.74 2.2 0.11 5.15
"189" "Tomodachi Life" "3DS" "2013" "Simulation" 0.96 2.02 1.89 0.28 5.15
"190" "Mario & Sonic at the Olympic Games" "DS" "2008" "Sports" 1.64 2.48 0.44 0.58 5.14
"191" "Medal of Honor: Rising Sun" "PS2" "2003" "Shooter" 1.98 2.23 0.13 0.8 5.13
"193" "Fable III" "X360" "2010" "Role-Playing" 3.59 1.11 0.05 0.38 5.13
"194" "Call of Duty: Advanced Warfare" "XOne" "2014" "Shooter" 3.21 1.53 0.01 0.38 5.13
"195" "Microsoft Flight Simulator" "PC" "1996" "Simulation" 3.22 1.69 0 0.2 5.12
"196" "Guitar Hero II" "PS2" "2006" "Misc" 3.81 0.63 0 0.68 5.12
"197" "Resident Evil 5" "PS3" "2009" "Action" 1.96 1.43 1.08 0.65 5.11
"198" "Grand Theft Auto V" "XOne" "2014" "Action" 2.66 2.01 0 0.41 5.08
"199" "Grand Theft Auto: Vice City Stories" "PSP" "2006" "Action" 1.7 2.02 0.16 1.21 5.08
"200" "FIFA Soccer 11" "PS3" "2010" "Sports" 0.6 3.29 0.06 1.13 5.08
"202" "Resident Evil" "PS" "1996" "Action" 2.05 1.16 1.11 0.73 5.05
"203" "Tony Hawk's Pro Skater" "PS" "1999" "Sports" 3.42 1.38 0.02 0.2 5.02
"204" "Super Smash Bros. for Wii U and 3DS" "WiiU" "2014" "Fighting" 2.59 1.06 0.8 0.57 5.02
"205" "Warzone 2100" "PS" "1999" "Strategy" 2.79 1.89 0 0.33 5.01
"206" "Spyro the Dragon" "PS" "1998" "Platform" 3.36 1.36 0.07 0.21 5
"207" "Link's Crossbow Training" "Wii" "2007" "Shooter" 3.06 1.18 0.29 0.46 5
"208" "Guitar Hero III: Legends of Rock" "PS2" "2007" "Misc" 3.49 0.01 0.01 1.48 4.98
"209" "Fallout 3" "X360" "2008" "Role-Playing" 3.39 1.03 0.09 0.44 4.96
"210" "Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness" "DS" "2007" "Role-Playing" 1.85 1.2 1.54 0.37 4.96
"211" "Uncharted: Drake's Fortune" "PS3" "2007" "Action" 2.31 1.73 0.12 0.78 4.94
"212" "Madden NFL 06" "PS2" "2005" "Sports" 3.98 0.26 0.01 0.66 4.91
"213" "LEGO Star Wars: The Complete Saga" "DS" "2007" "Action" 2.89 1.54 0 0.46 4.9
"214" "Diddy Kong Racing" "N64" "1997" "Racing" 2.91 0.99 0.89 0.1 4.88
"215" "Monster Hunter Freedom 3" "PSP" "2010" "Role-Playing" 0 0 4.87 0 4.87
"217" "God of War III" "PS3" "2010" "Action" 2.74 1.36 0.12 0.63 4.84
"218" "StarCraft II: Wings of Liberty" "PC" "2010" "Strategy" 2.56 1.68 0 0.59 4.83
"219" "Assassin's Creed" "PS3" "2007" "Adventure" 1.91 2 0.09 0.83 4.83
"220" "FIFA 15" "PS3" "2014" "Sports" 0.57 3.14 0.04 1.07 4.82
"221" "Crash Team Racing" "PS" "1999" "Racing" 2.57 1.57 0.44 0.21 4.79
"222" "FIFA 17" "PS4" "2016" "Sports" 0.28 3.75 0.06 0.69 4.77
"223" "Batman: Arkham City" "X360" "2011" "Action" 2.99 1.31 0.04 0.41 4.76
"224" "Driver 2" "PS" "2000" "Action" 2.36 2.1 0.02 0.25 4.73
"225" "The Simpsons: Hit & Run" "PS2" "2003" "Racing" 1.73 2.19 0 0.79 4.7
"226" "Tony Hawk's Pro Skater 2" "PS" "2000" "Sports" 3.05 1.41 0.02 0.2 4.68
"227" "Animal Crossing: City Folk" "Wii" "2008" "Simulation" 1.87 1.12 1.32 0.37 4.68
"228" "The Lord of the Rings: The Two Towers" "PS2" "2002" "Action" 1.94 1.95 0.08 0.7 4.67
"229" "Forza Motorsport 4" "X360" "2011" "Racing" 2.08 2.04 0.06 0.47 4.64
"230" "Tomb Raider" "PS" "1996" "Action" 2.29 1.97 0.13 0.24 4.63
"231" "Guitar Hero III: Legends of Rock" "Wii" "2007" "Misc" 3.06 1.12 0 0.44 4.62
"232" "The Legend of Zelda: A Link to the Past" "SNES" "1991" "Action" 2.42 0.91 1.15 0.13 4.61
"233" "The Legend of Zelda: The Wind Waker" "GC" "2002" "Action" 2.6 0.99 0.89 0.13 4.6
"234" "Mario & Sonic at the Olympic Winter Games" "Wii" "2009" "Sports" 1.89 1.99 0.22 0.48 4.58
"235" "Luigi's Mansion: Dark Moon" "3DS" "2013" "Action" 1.78 1.39 1.1 0.3 4.58
"236" "Splatoon" "WiiU" "2015" "Shooter" 1.55 1.15 1.44 0.43 4.57
"237" "The Last of Us" "PS4" "2014" "Action" 1.78 1.87 0.07 0.82 4.55
"238" "Guitar Hero III: Legends of Rock" "X360" "2007" "Misc" 3.19 0.92 0.01 0.42 4.53
"239" "Madden NFL 2005" "PS2" "2004" "Sports" 4.18 0.26 0.01 0.08 4.53
"241" "Madden NFL 07" "PS2" "2006" "Sports" 3.63 0.24 0.01 0.61 4.49
"242" "Spider-Man: The Movie" "PS2" "2002" "Action" 2.71 1.51 0.03 0.23 4.48
"243" "Dragon Quest VII: Warriors of Eden" "PS" "2000" "Role-Playing" 0.2 0.14 4.1 0.02 4.47
"244" "Uncharted: The Nathan Drake Collection" "PS4" "2015" "Action" 1.96 1.69 0.08 0.74 4.47
"245" "Call of Duty: Advanced Warfare" "PS3" "2014" "Shooter" 1.54 1.94 0.19 0.77 4.45
"246" "God of War" "PS2" "2005" "Action" 2.71 1.29 0.02 0.43 4.45
"247" "Nintendo Land" "WiiU" "2012" "Misc" 2.55 1.11 0.46 0.33 4.44
"248" "Michael Jackson: The Experience" "Wii" "2010" "Misc" 2.67 1.35 0.01 0.39 4.42
"249" "Tony Hawk's Pro Skater 3" "PS2" "2001" "Sports" 2.66 1.29 0.01 0.46 4.41
"250" "Winning Eleven: Pro Evolution Soccer 2007" "PS2" "2006" "Sports" 0.1 2.39 1.05 0.86 4.39
"251" "The Elder Scrolls IV: Oblivion" "X360" "2006" "Role-Playing" 2.82 1.05 0.13 0.4 4.39
"253" "Need for Speed: Most Wanted" "PS2" "2005" "Racing" 2.03 1.79 0.08 0.47 4.37
"254" "Resistance: Fall of Man" "PS3" "2006" "Shooter" 1.73 1.73 0.14 0.75 4.35
"256" "Kingdom Hearts II" "PS2" "2005" "Role-Playing" 2.2 0.58 1.38 0.17 4.33
"257" "FIFA 14" "X360" "2013" "Sports" 0.92 2.93 0.01 0.46 4.31
"258" "Call of Duty: Advanced Warfare" "X360" "2014" "Shooter" 2.75 1.18 0 0.37 4.31
"260" "Fable II" "X360" "2008" "Role-Playing" 2.51 1.27 0.11 0.41 4.31
"261" "Halo 5: Guardians" "XOne" "2015" "Shooter" 2.64 1.2 0.03 0.39 4.26
"262" "Super Mario 3D World" "WiiU" "2013" "Platform" 2.11 1.11 0.72 0.3 4.25
"263" "Batman: Arkham Asylum" "PS3" "2009" "Action" 2.23 1.34 0.07 0.61 4.25
"264" "Assassin's Creed: Revelations" "PS3" "2011" "Action" 1.41 2.02 0.1 0.72 4.24
"265" "Namco Museum" "GBA" "2001" "Misc" 3 1.11 0.05 0.07 4.24
"266" "Metal Gear Solid 3: Snake Eater" "PS2" "2004" "Action" 1.46 0 0.83 1.93 4.23
"267" "Daxter" "PSP" "2006" "Platform" 2.45 1.02 0 0.75 4.22
"268" "Warcraft II: Tides of Darkness" "PC" "1995" "Strategy" 1.7 2.27 0 0.23 4.21
"269" "The Legend of Zelda: Ocarina of Time" "3DS" "2011" "Action" 2.03 1.27 0.62 0.3 4.21
"270" "FIFA Soccer 06" "PS2" "2005" "Sports" 0.78 2.55 0.04 0.84 4.21
"271" "EyeToy Play" "PS2" "2003" "Misc" 0.88 2.3 0.2 0.83 4.2
"272" "Uncharted 4: A Thief's End" "PS4" "2016" "Shooter" 1.3 2.07 0.18 0.65 4.2
"273" "Gran Turismo 5 Prologue" "PS3" "2007" "Racing" 1.28 1.83 0.57 0.53 4.2
"274" "Assassin's Creed: Revelations" "X360" "2011" "Action" 2.25 1.47 0.04 0.43 4.19
"275" "Street Fighter IV" "PS3" "2009" "Fighting" 2.02 1.06 0.58 0.53 4.19
"276" "FIFA 12" "X360" "2011" "Sports" 0.84 2.79 0.02 0.53 4.19
"279" "Frogger" "PS" "1997" "Action" 3.79 0.27 0 0.11 4.16
"280" "Madden NFL 2003" "PS2" "2002" "Sports" 3.36 0.21 0.01 0.56 4.14
"281" "Watch Dogs" "PS4" "2014" "Action" 1.4 1.86 0.11 0.77 4.14
"282" "Half-Life" "PC" "1997" "Shooter" 4.03 0 0.09 0 4.12
"283" "Super Mario World 2: Yoshi's Island" "SNES" "1995" "Platform" 1.65 0.61 1.76 0.09 4.12
"284" "FIFA Soccer 07" "PS2" "2006" "Sports" 0.71 2.48 0.03 0.89 4.11
"285" "The Legend of Zelda: Skyward Sword" "Wii" "2011" "Action" 2.14 1.2 0.37 0.4 4.1
"286" "Street Fighter II Turbo" "SNES" "1992" "Fighting" 1.42 0.51 2.1 0.07 4.1
"287" "Carnival Games" "Wii" "2007" "Misc" 2.13 1.5 0.05 0.42 4.1
"288" "Fallout 4" "XOne" "2015" "Role-Playing" 2.45 1.26 0.01 0.37 4.09
"289" "World of Warcraft: The Burning Crusade" "PC" "2007" "Role-Playing" 2.57 1.52 0 0 4.09
"290" "Fallout: New Vegas" "X360" "2010" "Role-Playing" 2.65 1.06 0.04 0.33 4.08
"291" "God of War II" "PS2" "2007" "Action" 2.32 0.04 0.04 1.67 4.07
"292" "Forza Motorsport 2" "X360" "2007" "Racing" 2.35 1.28 0.03 0.41 4.06
"293" "World Soccer Winning Eleven 9" "PS2" "2005" "Sports" 0.12 2.26 0.9 0.77 4.06
"294" "Namco Museum Vol.3" "PS" "1996" "Misc" 2.28 1.55 0.16 0.06 4.05
"295" "Tekken Tag Tournament" "PS2" "2000" "Fighting" 1.68 1.51 0.51 0.35 4.05
"296" "Far Cry 4" "PS4" "2014" "Shooter" 1.12 2.12 0.1 0.69 4.03
"297" "Star Fox 64" "N64" "1997" "Shooter" 2.78 0.58 0.64 0.04 4.03
"298" "Minecraft" "PS4" "2014" "Misc" 1.38 1.87 0.12 0.65 4.02
"300" "Fallout 3" "PS3" "2008" "Role-Playing" 2.15 1.2 0.07 0.59 4.01
"301" "Professor Layton and the Diabolical Box" "DS" "2007" "Puzzle" 0.92 1.78 0.92 0.37 4
